행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
4800000000,경상남도  ,"3,241,374","1,529,476",          2.12,"1,632,685","1,608,689",          1.01
4812000000,경상남도 창원시 ,"1,005,519","457,841",          2.20,"509,049","496,470",          1.03
4812100000,경상남도 창원시 의창구 ,"212,213","97,082",          2.19,"107,975","104,238",          1.04
4812300000,경상남도 창원시 성산구 ,"243,755","106,238",          2.29,"124,385","119,370",          1.04
4812500000,경상남도 창원시 마산합포구 ,"179,137","86,111",          2.08,"88,943","90,194",          0.99
4812700000,경상남도 창원시 마산회원구 ,"180,302","82,780",          2.18,"89,952","90,350",          1.00
4812900000,경상남도 창원시 진해구 ,"190,112","85,630",          2.22,"97,794","92,318",          1.06
4817000000,경상남도 진주시 ,"340,037","160,375",          2.12,"167,907","172,130",          0.98
4822000000,경상남도 통영시 ,"119,767","59,492",          2.01,"60,141","59,626",          1.01
4824000000,경상남도 사천시 ,"108,943","55,365",          1.97,"55,133","53,810",          1.02
4825000000,경상남도 김해시 ,"532,619","232,555",          2.29,"269,293","263,326",          1.02
4827000000,경상남도 밀양시 ,"101,649","53,977",          1.88,"50,203","51,446",          0.98
4831000000,경상남도 거제시 ,"233,181","104,955",          2.22,"122,107","111,074",          1.10
4833000000,경상남도 양산시 ,"355,515","159,561",          2.23,"177,828","177,687",          1.00
4872000000,경상남도 의령군 ,"25,351","14,904",          1.70,"12,645","12,706",          1.00
4873000000,경상남도 함안군 ,"59,804","30,502",          1.96,"30,644","29,160",          1.05
4874000000,경상남도 창녕군 ,"56,848","32,047",          1.77,"28,466","28,382",          1.00
4882000000,경상남도 고성군 ,"49,048","26,453",          1.85,"24,798","24,250",          1.02
4884000000,경상남도 남해군 ,"40,479","22,462",          1.80,"19,705","20,774",          0.95
4885000000,경상남도 하동군 ,"41,326","23,566",          1.75,"20,666","20,660",          1.00
4886000000,경상남도 산청군 ,"33,657","19,657",          1.71,"16,694","16,963",          0.98
4887000000,경상남도 함양군 ,"36,645","20,616",          1.78,"17,805","18,840",          0.95
4888000000,경상남도 거창군 ,"60,030","31,203",          1.92,"29,553","30,477",          0.97
4889000000,경상남도 합천군 ,"40,956","23,945",          1.71,"20,048","20,908",          0.96